date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:02:28	50/50	---MCZ	200	added ('OK')	text/plain	date:Thu,%2020%20Aug%202026%2012:02:23%20GMT	https://demo.7iquid.com/robots.txt		(from )
05:02:28	297773/297773	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Aug%202026%2012:02:23%20GMT	https://demo.7iquid.com/alsha/	C:/Build-abo/original/demo.7iquid.com/alsha/index.html	(from )
05:02:29	2130/2130	---MCZ	200	added ('OK')	application/json	date:Thu,%2020%20Aug%202026%2012:02:24%20GMT	https://demo.7iquid.com/alsha/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo.7iquid.com%2Falsha%2F	C:/Build-abo/original/demo.7iquid.com/alsha/wp-json/oembed/1.0/embedbd67.json	(from https://demo.7iquid.com/alsha/)
05:02:29	413601/413601	---MC-	200	added ('OK')	application/rss+xml	etag:%2289d4ba0e917dc7c841f9b7b359251403%22	https://demo.7iquid.com/alsha/feed/	C:/Build-abo/original/demo.7iquid.com/alsha/feed/index.html	(from https://demo.7iquid.com/alsha/)
05:02:30	2763/2763	---M--	200	added ('OK')	application/rss+xml	etag:%2289d4ba0e917dc7c841f9b7b359251403%22	https://demo.7iquid.com/alsha/comments/feed/	C:/Build-abo/original/demo.7iquid.com/alsha/comments/feed/index.html	(from https://demo.7iquid.com/alsha/)
05:02:30	2279/2279	---MCZ	200	added ('OK')	text/xml	date:Thu,%2020%20Aug%202026%2012:02:25%20GMT	https://demo.7iquid.com/alsha/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo.7iquid.com%2Falsha%2F&format=xml	C:/Build-abo/original/demo.7iquid.com/alsha/wp-json/oembed/1.0/embed6f51	(from https://demo.7iquid.com/alsha/)
05:02:30	422/422	---MCZ	200	added ('OK')	text/css	etag:W/%226a4b05b3-1a6%22	https://demo.7iquid.com/alsha/wp-content/plugins/pxltheme-core/assets/css/main.css?ver=1.0.0	C:/Build-abo/original/demo.7iquid.com/alsha/wp-content/plugins/pxltheme-core/assets/css/main8a54.css	(from https://demo.7iquid.com/alsha/)
05:02:30	2979/2979	---MCZ	200	added ('OK')	text/css	etag:W/%226a4b05b1-ba3%22	https://demo.7iquid.com/alsha/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.6	C:/Build-abo/original/demo.7iquid.com/alsha/wp-content/plugins/contact-form-7/includes/css/stylesc098.css	(from https://demo.7iquid.com/alsha/)
05:02:30	54896/54896	---MCZ	200	added ('OK')	text/css	etag:W/%226a8675f6-d670%22	https://demo.7iquid.com/alsha/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1787196918	C:/Build-abo/original/demo.7iquid.com/alsha/wp-content/uploads/elementor/css/custom-frontend.min63f1.css	(from https://demo.7iquid.com/alsha/)
05:02:31	1351/1351	---MCZ	200	added ('OK')	text/css	etag:W/%226a8675f6-547%22	https://demo.7iquid.com/alsha/wp-content/uploads/elementor/css/post-8.css?ver=1787196918	C:/Build-abo/original/demo.7iquid.com/alsha/wp-content/uploads/elementor/css/post-863f1.css	(from https://demo.7iquid.com/alsha/)
05:02:31	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%226a4b05b2-4057%22	https://demo.7iquid.com/alsha/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Build-abo/original/demo.7iquid.com/alsha/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://demo.7iquid.com/alsha/)
05:02:31	5486/5486	---MCZ	200	added ('OK')	text/css	etag:W/%226a4b05b1-156e%22	https://demo.7iquid.com/alsha/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=4.1.4	C:/Build-abo/original/demo.7iquid.com/alsha/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.mineda1.css	(from https://demo.7iquid.com/alsha/)
05:02:31	1243/1243	---MCZ	200	added ('OK')	text/css	etag:W/%226a4b05b1-4db%22	https://demo.7iquid.com/alsha/wp-content/plugins/elementor/assets/css/widget-video.min.css?ver=4.1.4	C:/Build-abo/original/demo.7iquid.com/alsha/wp-content/plugins/elementor/assets/css/widget-video.mineda1.css	(from https://demo.7iquid.com/alsha/)
05:02:32	58287/58287	---MCZ	200	added ('OK')	text/css	etag:W/%226a868a58-e3af%22	https://demo.7iquid.com/alsha/wp-content/uploads/elementor/css/post-1223.css?ver=1787202136	C:/Build-abo/original/demo.7iquid.com/alsha/wp-content/uploads/elementor/css/post-12233fc4.css	(from https://demo.7iquid.com/alsha/)
05:02:32	1774/1774	---MCZ	200	added ('OK')	text/css	etag:W/%226a8675f6-6ee%22	https://demo.7iquid.com/alsha/wp-content/uploads/elementor/css/base-desktop.css?ver=6a8675f65bdd1	C:/Build-abo/original/demo.7iquid.com/alsha/wp-content/uploads/elementor/css/base-desktop1bb9.css	(from https://demo.7iquid.com/alsha/)
